Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
663|G4530703|COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS|674,25|690,57|757,4172|821,1917|859,0486|895,4723
664|G4530704|COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS|674,25|690,57|757,4172|821,1917|859,0486|895,4723
665|G4530705|COMÉRCIO A VAREJO DE PNEUMÁTICOS E CÂMAR|674,25|690,57|757,4172|821,1917|859,0486|895,4723
717|G4637102|COMÉRCIO ATACADISTA DE AÇÚCAR|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
710|G4635401|COMÉRCIO ATACADISTA DE ÁGUA MINERAL|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
772|G4681801|COMÉRCIO ATACADISTA DE ÁLCOOL CARBURANTE|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
691|G4623103|COMÉRCIO ATACADISTA DE ALGODÃO|561,88|575,48|631,1865|684,3324|715,8801|746,2334
697|G4623109|COMÉRCIO ATACADISTA DE ALIMENTOS PARA AN|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
689|G4623101|COMÉRCIO ATACADISTA DE ANIMAIS VIVOS|561,88|575,48|631,1865|684,3324|715,8801|746,2334
743|G4649402|COMÉRCIO ATACADISTA DE APARELHOS ELETRÔN|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
728|G4641903|COMÉRCIO ATACADISTA DE ARTIGOS DE ARMARI|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
727|G4641902|COMÉRCIO ATACADISTA DE ARTIGOS DE CAMA,|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
740|G4647801|COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRIT|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
746|G4649405|COMÉRCIO ATACADISTA DE ARTIGOS DE TAPEÇA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
729|G4642701|COMÉRCIO ATACADISTA DE ARTIGOS DO VESTUÁ|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
707|G4634602|COMÉRCIO ATACADISTA DE AVES ABATIDAS E D|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
704|G4633802|COMÉRCIO ATACADISTA DE AVES VIVAS E OVOS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
712|G4635403|COMÉRCIO ATACADISTA DE BEBIDAS COM ATIVI|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
713|G4635499|COMÉRCIO ATACADISTA DE BEBIDAS NÃO ESPEC|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
744|G4649403|COMÉRCIO ATACADISTA DE BICICLETAS, TRICI|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
732|G4643502|COMÉRCIO ATACADISTA DE BOLSAS, MALAS E A|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
761|G4669901|COMÉRCIO ATACADISTA DE BOMBAS E COMPRESS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
693|G4623105|COMÉRCIO ATACADISTA DE CACAU|561,88|575,48|631,1865|684,3324|715,8801|746,2334
687|G4621400|COMÉRCIO ATACADISTA DE CAFÉ EM GRÃO|561,88|575,48|631,1865|684,3324|715,8801|746,2334
